554,,,,,,,,,
591,,3.7|2.2|0.6|-0.6|0.4|-0.2,1.84|1.47|3.24|7.04|3.77|5.19,83.1|49.0|41.2|15.1|28.2|8.2,0|0|0|0|0|0,2.56|2.96|2.86|4.53|4.76|6.48,-0.72|-1.49|0.38|2.51|-0.99|-1.29,0.282|0.222|0.241|0.189|0.336|0.146,0.074|0.069|0.071|0.108|0.103|0.122
592,,0.8|-0.9|3.1|-3.1|-0.5|-0.4|1.0|-1.8|0.6|-1.3|0.2|-0.2,2.42|3.04|2.44|3.32|4.55|9.28|3.08|4.63|2.16|5.97|4.26|5.40,48.1|106.2|199.0|192.1|31.2|10.2|128.2|190.1|33.1|37.2|74.0|31.2,5|12|20|20|2|2|18|23|5|4|6|0,2.66|3.05|2.42|3.19|4.38|5.29|2.35|3.88|2.26|3.69|3.71|4.90,-0.24|-0.01|0.02|0.13|0.17|3.99|0.73|0.75|-0.1|2.28|0.55|0.5,0.088|0.096|0.145|0.11|0.056|0.037|0.244|0.119|0.194|0.073|0.061|0.074,0.077|0.114|0.096|0.119|0.113|0.185|0.127|0.139|0.081|0.146|0.067|0.154
593,,,,,,,,,
594,,,,,,,,,
595,,0.2|-0.2|-0.1|0.9|-0.3|0.0|1.4|0.5,3.45|12.46|7.36|3.00|8.38|2.70|3.48|4.11,15.2|4.1|3.2|57.0|9.2|3.1|67.1|46.0,0|0|0|0|0|0|0|0,3.88|9.36|2.01|3.70|4.66|6.74|3.29|5.48,-0.43|3.1|5.35|-0.7|3.72|-4.04|0.19|-1.37,0.167|0.167|0.333|0.151|0.111|0.154|0.216|0.114,0.182|0.125|0.133|0.12|0.089|0.077|0.117|0.147
596,,,,,,,,,
597,,,,,,,,,
598,,,,,,,,,
599,,1.6|-0.1,3.95|4.95,86.2|20.0,11|1,4.81|3.88,-0.86|1.07,0.07|0.096,0.094|0.117
600,,-0.1|-1.0|0.6|0.4|0.4|2.5|3.2|1.3|-0.1,5.76|7.93|4.53|4.46|4.43|3.68|3.49|3.71|5.56,45.1|36.1|113.1|109.0|132.0|208.0|209.0|145.2|11.1,9|8|20|19|22|33|32|23|2,4.92|6.41|4.41|3.74|4.06|3.97|3.31|3.93|7.10,0.84|1.52|0.12|0.72|0.37|-0.29|0.18|-0.22|-1.54,0.137|0.1|0.173|0.215|0.189|0.192|0.234|0.205|0.059,0.137|0.094|0.105|0.086|0.059|0.059|0.064|0.075|0.078
601,,-1.1|0.6|-0.9,7.36|0.00|4.88,36.2|10.0|72.0,5|0|3,4.40|2.72|5.28,2.96|-2.72|-0.4,0.103|0.081|0.07,0.079|0.054|0.083
602,,,,,,,,,
603,,-0.1,6.17,11.2,1,4.26,1.91,0.121,0.103
604,,-0.1,5.63,8.0,1,3.96,1.67,0.0,0.0
605,,,,,,,,,
606,,1.3|-0.3|3.8,4.98|6.24|4.29,81.1|83.2|191.0,6|11|29,5.21|5.08|5.37,-0.23|1.16|-1.08,0.092|0.117|0.101,0.108|0.135|0.084
607,,0.2|-0.1,3.90|3.60,64.2|5.0,1|1,4.21|5.78,-0.31|-2.18,0.158|0.048,0.144|0.095
608,,0.4|-1.8|0.1|0.1,3.15|7.12|3.60|5.18,71.1|36.2|5.0|24.1,5|1|0|0,3.29|3.73|4.10|4.13,-0.14|3.39|-0.5|1.05,0.065|0.046|0.083|0.056,0.068|0.063|0.083|0.065
609,,,,,,,,,
610,,-0.2,7.88,8.0,0,5.79,2.09,0.026,0.105
611,,,,,,,,,
612,,-0.1|1.0|4.1|-0.0|-0.3|-0.9|0.1|1.7|0.5|-0.2|0.5|-1.4|0.1|0.9|-0.2|0.1|1.2|-0.4,5.68|3.46|1.97|4.29|4.24|5.77|3.45|2.55|3.03|3.88|3.75|6.24|0.00|3.00|5.93|4.05|2.27|4.81,6.1|83.1|100.1|94.1|85.0|39.0|15.2|91.2|29.2|55.2|93.2|49.0|2.0|45.0|13.2|13.1|67.1|24.1,0|0|0|0|0|0|0|0|0|1|1|3|0|0|0|0|0|0,3.74|4.88|2.68|3.59|3.78|4.75|1.20|3.44|4.41|4.30|4.09|3.85|5.68|3.64|6.31|4.19|3.12|4.21,1.94|-1.42|-0.71|0.7|0.46|1.02|2.25|-0.89|-1.38|-0.42|-0.34|2.39|-5.68|-0.64|-0.38|-0.14|-0.85|0.6,0.143|0.18|0.219|0.2|0.164|0.092|0.233|0.183|0.172|0.167|0.147|0.134|0.0|0.212|0.164|0.145|0.203|0.17,0.179|0.151|0.091|0.119|0.103|0.098|0.033|0.097|0.107|0.082|0.093|0.112|0.25|0.095|0.082|0.055|0.101|0.098
613,,,,,,,,,
614,,-0.2|-0.7,6.75|7.71,10.2|11.2,3|3,4.30|4.45,2.45|3.26,0.058|0.123,0.154|0.123
615,,,,,,,,,
616,,,,,,,,,
617,,-0.3|-0.0|-0.3,10.80|6.23|36.00,8.1|4.1|1.0,0|0|0,3.29|7.64|42.15,7.51|-1.41|-6.15,0.182|0.167|0.0,0.136|0.0|0.0
618,,-0.2,6.00,3.0,0,7.94,-1.94,0.0,0.05
619,,-0.2,9.39,7.2,0,6.97,2.42,0.053,0.053
620,,,,,,,,,
621,,-0.3|-0.3,5.63|10.50,8.0|6.0,1|1,5.55|5.59,0.08|4.91,0.0|0.034,0.113|0.207
622,,,,,,,,,
623,,,,,,,,,
624,,,,,,,,,
625,,,,,,,,,
626,,,,,,,,,
627,,,,,,,,,
628,,-0.2,4.50,4.0,0,6.02,-1.52,0.056,0.0
629,,,,,,,,,
630,,,,,,,,,
631,,,,,,,,,
632,,,,,,,,,
633,,,,,,,,,
634,,,,,,,,,
635,,,,,,,,,
636,,,,,,,,,
637,,,,,,,,,
638,,0.2,3.93,94.0,8,3.18,0.75,0.132,0.078
639,,,,,,,,,
640,,,,,,,,,
641,,-2.6|-1.9||0.3|-1.6,5.60|8.44|inf|3.06|6.83,178.1|91.2|0.0|47.0|54.0,21|12|0|5|6,4.65|5.45||3.89|4.99,0.95|2.99||-0.83|1.84,0.09|0.055|0.0|0.033|0.023,0.102|0.123|0.667|0.086|0.084
642,,-0.4,5.71,17.1,2,5.39,0.32,0.036,0.083
